Year,Sector,Sex,Age group,Labour force value
1976,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,117.4
1976,"Provincial & municipal government, education & health",Both sexes,55 years and over,22.4
1976,"Provincial & municipal government, education & health",Females,15 to 24 years,30.5
1976,"Provincial & municipal government, education & health",Females,15 years and over,105.3
1976,"Provincial & municipal government, education & health",Females,25 to 54 years,63.6
1976,"Provincial & municipal government, education & health",Females,55 years and over,10.100000000000001
1976,"Provincial & municipal government, education & health",Males,15 to 24 years,13.4
1976,"Provincial & municipal government, education & health",Males,15 years and over,78.6
1976,"Provincial & municipal government, education & health",Males,25 to 54 years,53.9
1976,"Provincial & municipal government, education & health",Males,55 years and over,11.2
1976,"Transportation, communication & utilities",Both sexes,15 to 24 years,14.0
1976,"Transportation, communication & utilities",Both sexes,15 years and over,58.1
1976,"Transportation, communication & utilities",Both sexes,25 to 54 years,38.5
1976,"Transportation, communication & utilities",Both sexes,55 years and over,4.9
1976,"Transportation, communication & utilities",Females,15 to 24 years,3.2
1976,"Transportation, communication & utilities",Females,15 years and over,10.7
1976,"Transportation, communication & utilities",Females,25 to 54 years,5.3
1976,"Transportation, communication & utilities",Females,55 years and over,0.0
1976,"Transportation, communication & utilities",Males,15 to 24 years,9.1
1976,"Transportation, communication & utilities",Males,15 years and over,47.4
1976,"Transportation, communication & utilities",Males,25 to 54 years,32.300000000000004
1976,"Transportation, communication & utilities",Males,55 years and over,4.4
1976,Wholesale and retail,Both sexes,15 to 24 years,52.6
1976,Wholesale and retail,Both sexes,15 years and over,143.1
1976,Wholesale and retail,Both sexes,25 to 54 years,76.1
1976,Wholesale and retail,Both sexes,55 years and over,14.4
1976,Wholesale and retail,Females,15 to 24 years,22.7
1976,Wholesale and retail,Females,15 years and over,63.3
1976,Wholesale and retail,Females,25 to 54 years,34.2
1976,Wholesale and retail,Females,55 years and over,6.4
1976,Wholesale and retail,Males,15 to 24 years,29.9
1976,Wholesale and retail,Males,15 years and over,79.8
1976,Wholesale and retail,Males,25 to 54 years,41.8
1976,Wholesale and retail,Males,55 years and over,8.1
1977,Agriculture & forestry,Both sexes,15 to 24 years,21.1
1977,Agriculture & forestry,Both sexes,15 years and over,94.5
1977,Agriculture & forestry,Both sexes,25 to 54 years,52.4
1977,Agriculture & forestry,Both sexes,55 years and over,21.0
1977,Agriculture & forestry,Females,15 to 24 years,4.6
1977,Agriculture & forestry,Females,15 years and over,25.8
1977,Agriculture & forestry,Females,25 to 54 years,17.5
1977,Agriculture & forestry,Females,55 years and over,3.7
1977,Agriculture & forestry,Males,15 to 24 years,16.5
1977,Agriculture & forestry,Males,15 years and over,68.6
1977,Agriculture & forestry,Males,25 to 54 years,34.9
1977,Agriculture & forestry,Males,55 years and over,17.3
1977,Business & professional services,Both sexes,15 to 24 years,82.2
1977,Business & professional services,Both sexes,15 years and over,217.9
1977,Business & professional services,Both sexes,25 to 54 years,117.9
1977,Business & professional services,Both sexes,55 years and over,16.3
1977,Business & professional services,Females,15 to 24 years,48.4
1977,Business & professional services,Females,15 years and over,104.0
1977,Business & professional services,Females,25 to 54 years,48.9
1977,Business & professional services,Females,55 years and over,3.8000000000000003
1977,Business & professional services,Males,15 to 24 years,33.8
1977,Business & professional services,Males,15 years and over,113.9
1977,Business & professional services,Males,25 to 54 years,69.0
1977,Business & professional services,Males,55 years and over,6.8
1977,Construction & construction trades,Both sexes,15 to 24 years,29.5
1977,Construction & construction trades,Both sexes,15 years and over,92.7
1977,Construction & construction trades,Both sexes,25 to 54 years,57.6
1977,Construction & construction trades,Both sexes,55 years and over,5.5
1977,Construction & construction trades,Females,15 to 24 years,2.5
1977,Construction & construction trades,Females,15 years and over,7.5
1977,Construction & construction trades,Females,25 to 54 years,4.8
1977,Construction & construction trades,Females,55 years and over,0.0
1977,Construction & construction trades,Males,15 to 24 years,27.1
1977,Construction & construction trades,Males,15 years and over,85.1
1977,Construction & construction trades,Males,25 to 54 years,52.8
1977,Construction & construction trades,Males,55 years and over,5.2
1977,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,23.7
1977,"Manufacturing, packaging & processing",Both sexes,15 years and over,78.5
1977,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,49.1
1977,"Manufacturing, packaging & processing",Both sexes,55 years and over,5.7
1977,"Manufacturing, packaging & processing",Females,15 to 24 years,6.8
1977,"Manufacturing, packaging & processing",Females,15 years and over,17.0
1977,"Manufacturing, packaging & processing",Females,25 to 54 years,9.5
1977,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1977,"Manufacturing, packaging & processing",Males,15 to 24 years,16.9
1977,"Manufacturing, packaging & processing",Males,15 years and over,61.5
1977,"Manufacturing, packaging & processing",Males,25 to 54 years,39.6
1977,"Manufacturing, packaging & processing",Males,55 years and over,5.0
1977,Mining & petroleum development,Both sexes,15 to 24 years,0.0
1977,Mining & petroleum development,Both sexes,15 years and over,0.0
1977,Mining & petroleum development,Both sexes,25 to 54 years,0.0
1977,Mining & petroleum development,Both sexes,55 years and over,0.0
1977,Mining & petroleum development,Females,15 to 24 years,0.0
1977,Mining & petroleum development,Females,15 years and over,0.0
1977,Mining & petroleum development,Females,25 to 54 years,0.0
1977,Mining & petroleum development,Females,55 years and over,0.0
1977,Mining & petroleum development,Males,15 to 24 years,0.0
1977,Mining & petroleum development,Males,15 years and over,0.0
1977,Mining & petroleum development,Males,25 to 54 years,0.0
1977,Mining & petroleum development,Males,55 years and over,0.0
1977,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,43.0
1977,"Provincial & municipal government, education & health",Both sexes,15 years and over,190.2
1977,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,125.9
1977,"Provincial & municipal government, education & health",Both sexes,55 years and over,21.2
1977,"Provincial & municipal government, education & health",Females,15 to 24 years,31.3
1977,"Provincial & municipal government, education & health",Females,15 years and over,112.5
1977,"Provincial & municipal government, education & health",Females,25 to 54 years,70.4
1977,"Provincial & municipal government, education & health",Females,55 years and over,10.7
1977,"Provincial & municipal government, education & health",Males,15 to 24 years,11.6
1977,"Provincial & municipal government, education & health",Males,15 years and over,77.6
1977,"Provincial & municipal government, education & health",Males,25 to 54 years,55.5
1977,"Provincial & municipal government, education & health",Males,55 years and over,10.5
1977,"Transportation, communication & utilities",Both sexes,15 to 24 years,15.4
1977,"Transportation, communication & utilities",Both sexes,15 years and over,59.5
1977,"Transportation, communication & utilities",Both sexes,25 to 54 years,38.8
1977,"Transportation, communication & utilities",Both sexes,55 years and over,4.6
1977,"Transportation, communication & utilities",Females,15 to 24 years,2.6
1977,"Transportation, communication & utilities",Females,15 years and over,12.0
1977,"Transportation, communication & utilities",Females,25 to 54 years,7.4
1977,"Transportation, communication & utilities",Females,55 years and over,0.0
1977,"Transportation, communication & utilities",Males,15 to 24 years,10.9
1977,"Transportation, communication & utilities",Males,15 years and over,47.5
1977,"Transportation, communication & utilities",Males,25 to 54 years,30.5
1977,"Transportation, communication & utilities",Males,55 years and over,4.1
1977,Wholesale and retail,Both sexes,15 to 24 years,62.2
1977,Wholesale and retail,Both sexes,15 years and over,157.7
1977,Wholesale and retail,Both sexes,25 to 54 years,81.2
1977,Wholesale and retail,Both sexes,55 years and over,14.3
1977,Wholesale and retail,Females,15 to 24 years,26.7
1977,Wholesale and retail,Females,15 years and over,67.4
1977,Wholesale and retail,Females,25 to 54 years,35.0
1977,Wholesale and retail,Females,55 years and over,5.8
1977,Wholesale and retail,Males,15 to 24 years,35.6
1977,Wholesale and retail,Males,15 years and over,90.3
1977,Wholesale and retail,Males,25 to 54 years,46.1
1977,Wholesale and retail,Males,55 years and over,8.6
1978,Agriculture & forestry,Both sexes,15 to 24 years,17.3
1978,Agriculture & forestry,Both sexes,15 years and over,81.7
1978,Agriculture & forestry,Both sexes,25 to 54 years,46.7
1978,Agriculture & forestry,Both sexes,55 years and over,17.7
1978,Agriculture & forestry,Females,15 to 24 years,3.5
1978,Agriculture & forestry,Females,15 years and over,21.2
1978,Agriculture & forestry,Females,25 to 54 years,15.1
1978,Agriculture & forestry,Females,55 years and over,2.6
1978,Agriculture & forestry,Males,15 to 24 years,13.9
1978,Agriculture & forestry,Males,15 years and over,60.4
1978,Agriculture & forestry,Males,25 to 54 years,31.5
1978,Agriculture & forestry,Males,55 years and over,15.1
1978,Business & professional services,Both sexes,15 to 24 years,91.2
1978,Business & professional services,Both sexes,15 years and over,242.5
1978,Business & professional services,Both sexes,25 to 54 years,131.6
1978,Business & professional services,Both sexes,55 years and over,19.799999999999997
1978,Business & professional services,Females,15 to 24 years,54.6
1978,Business & professional services,Females,15 years and over,124.7
1978,Business & professional services,Females,25 to 54 years,61.7
1978,Business & professional services,Females,55 years and over,4.199999999999999
1978,Business & professional services,Males,15 to 24 years,36.6
1978,Business & professional services,Males,15 years and over,117.9
1978,Business & professional services,Males,25 to 54 years,69.9
1978,Business & professional services,Males,55 years and over,9.0
1978,Construction & construction trades,Both sexes,15 to 24 years,36.7
1978,Construction & construction trades,Both sexes,15 years and over,111.3
1978,Construction & construction trades,Both sexes,25 to 54 years,67.3
1978,Construction & construction trades,Both sexes,55 years and over,7.3
1978,Construction & construction trades,Females,15 to 24 years,3.4
1978,Construction & construction trades,Females,15 years and over,9.7
1978,Construction & construction trades,Females,25 to 54 years,5.7
1978,Construction & construction trades,Females,55 years and over,0.0
1978,Construction & construction trades,Males,15 to 24 years,33.3
1978,Construction & construction trades,Males,15 years and over,101.7
1978,Construction & construction trades,Males,25 to 54 years,61.7
1978,Construction & construction trades,Males,55 years and over,6.7
1978,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,24.9
1978,"Manufacturing, packaging & processing",Both sexes,15 years and over,84.5
1978,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,52.7
1978,"Manufacturing, packaging & processing",Both sexes,55 years and over,7.0
1978,"Manufacturing, packaging & processing",Females,15 to 24 years,6.1
1978,"Manufacturing, packaging & processing",Females,15 years and over,18.2
1978,"Manufacturing, packaging & processing",Females,25 to 54 years,11.1
1978,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1978,"Manufacturing, packaging & processing",Males,15 to 24 years,18.8
1978,"Manufacturing, packaging & processing",Males,15 years and over,66.4
1978,"Manufacturing, packaging & processing",Males,25 to 54 years,41.6
1978,"Manufacturing, packaging & processing",Males,55 years and over,6.0
1978,Mining & petroleum development,Both sexes,15 to 24 years,0.0
1978,Mining & petroleum development,Both sexes,15 years and over,0.0
1978,Mining & petroleum development,Both sexes,25 to 54 years,0.0
1978,Mining & petroleum development,Both sexes,55 years and over,0.0
1978,Mining & petroleum development,Females,15 to 24 years,0.0
1978,Mining & petroleum development,Females,15 years and over,0.0
1978,Mining & petroleum development,Females,25 to 54 years,0.0
1978,Mining & petroleum development,Females,55 years and over,0.0
1978,Mining & petroleum development,Males,15 to 24 years,0.0
1978,Mining & petroleum development,Males,15 years and over,0.0
1978,Mining & petroleum development,Males,25 to 54 years,0.0
1978,Mining & petroleum development,Males,55 years and over,0.0
1978,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,42.6
1978,"Provincial & municipal government, education & health",Both sexes,15 years and over,192.29999999999998
1978,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,127.4
1978,"Provincial & municipal government, education & health",Both sexes,55 years and over,22.3
1978,"Provincial & municipal government, education & health",Females,15 to 24 years,31.699999999999996
1978,"Provincial & municipal government, education & health",Females,15 years and over,113.5
1978,"Provincial & municipal government, education & health",Females,25 to 54 years,71.5
1978,"Provincial & municipal government, education & health",Females,55 years and over,9.0
1978,"Provincial & municipal government, education & health",Males,15 to 24 years,10.9
1978,"Provincial & municipal government, education & health",Males,15 years and over,78.80000000000001
1978,"Provincial & municipal government, education & health",Males,25 to 54 years,55.8
1978,"Provincial & municipal government, education & health",Males,55 years and over,12.1
1978,"Transportation, communication & utilities",Both sexes,15 to 24 years,16.6
1978,"Transportation, communication & utilities",Both sexes,15 years and over,65.4
1978,"Transportation, communication & utilities",Both sexes,25 to 54 years,43.2
1978,"Transportation, communication & utilities",Both sexes,55 years and over,5.1
1978,"Transportation, communication & utilities",Females,15 to 24 years,3.2
1978,"Transportation, communication & utilities",Females,15 years and over,11.9
1978,"Transportation, communication & utilities",Females,25 to 54 years,6.6
1978,"Transportation, communication & utilities",Females,55 years and over,0.0
1978,"Transportation, communication & utilities",Males,15 to 24 years,12.8
1978,"Transportation, communication & utilities",Males,15 years and over,53.400000000000006
1978,"Transportation, communication & utilities",Males,25 to 54 years,35.7
1978,"Transportation, communication & utilities",Males,55 years and over,4.5
1978,Wholesale and retail,Both sexes,15 to 24 years,62.2
1978,Wholesale and retail,Both sexes,15 years and over,161.3
1978,Wholesale and retail,Both sexes,25 to 54 years,85.1
1978,Wholesale and retail,Both sexes,55 years and over,14.0
1978,Wholesale and retail,Females,15 to 24 years,28.1
1978,Wholesale and retail,Females,15 years and over,70.9
1978,Wholesale and retail,Females,25 to 54 years,36.6
1978,Wholesale and retail,Females,55 years and over,6.1
1978,Wholesale and retail,Males,15 to 24 years,34.0
1978,Wholesale and retail,Males,15 years and over,90.4
1978,Wholesale and retail,Males,25 to 54 years,48.5
1978,Wholesale and retail,Males,55 years and over,7.9
1979,Agriculture & forestry,Both sexes,15 to 24 years,16.6
1979,Agriculture & forestry,Both sexes,15 years and over,78.1
1979,Agriculture & forestry,Both sexes,25 to 54 years,44.5
1979,Agriculture & forestry,Both sexes,55 years and over,17.0
1979,Agriculture & forestry,Females,15 to 24 years,3.3
1979,Agriculture & forestry,Females,15 years and over,19.4
1979,Agriculture & forestry,Females,25 to 54 years,13.3
1979,Agriculture & forestry,Females,55 years and over,2.8
1979,Agriculture & forestry,Males,15 to 24 years,13.3
1979,Agriculture & forestry,Males,15 years and over,58.7
1979,Agriculture & forestry,Males,25 to 54 years,31.2
1979,Agriculture & forestry,Males,55 years and over,14.2
1979,Business & professional services,Both sexes,15 to 24 years,96.1
1979,Business & professional services,Both sexes,15 years and over,259.8
1979,Business & professional services,Both sexes,25 to 54 years,142.3
1979,Business & professional services,Both sexes,55 years and over,21.6
1979,Business & professional services,Females,15 to 24 years,56.6
1979,Business & professional services,Females,15 years and over,134.1
1979,Business & professional services,Females,25 to 54 years,69.2
1979,Business & professional services,Females,55 years and over,6.1
1979,Business & professional services,Males,15 to 24 years,39.4
1979,Business & professional services,Males,15 years and over,125.7
1979,Business & professional services,Males,25 to 54 years,73.2
1979,Business & professional services,Males,55 years and over,12.0
1979,Construction & construction trades,Both sexes,15 to 24 years,39.8
1979,Construction & construction trades,Both sexes,15 years and over,125.0
1979,Construction & construction trades,Both sexes,25 to 54 years,78.0
1979,Construction & construction trades,Both sexes,55 years and over,7.1
1979,Construction & construction trades,Females,15 to 24 years,3.0
1979,Construction & construction trades,Females,15 years and over,10.8
1979,Construction & construction trades,Females,25 to 54 years,7.2
1979,Construction & construction trades,Females,55 years and over,0.0
1979,Construction & construction trades,Males,15 to 24 years,36.8
1979,Construction & construction trades,Males,15 years and over,114.2
1979,Construction & construction trades,Males,25 to 54 years,70.8
1979,Construction & construction trades,Males,55 years and over,6.5
1979,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,30.0
1979,"Manufacturing, packaging & processing",Both sexes,15 years and over,91.1
1979,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,54.9
1979,"Manufacturing, packaging & processing",Both sexes,55 years and over,6.1
1979,"Manufacturing, packaging & processing",Females,15 to 24 years,7.9
1979,"Manufacturing, packaging & processing",Females,15 years and over,22.2
1979,"Manufacturing, packaging & processing",Females,25 to 54 years,13.1
1979,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1979,"Manufacturing, packaging & processing",Males,15 to 24 years,22.1
1979,"Manufacturing, packaging & processing",Males,15 years and over,68.9
1979,"Manufacturing, packaging & processing",Males,25 to 54 years,41.8
1979,"Manufacturing, packaging & processing",Males,55 years and over,5.0
1979,Mining & petroleum development,Both sexes,15 to 24 years,0.0
1979,Mining & petroleum development,Both sexes,15 years and over,0.0
1979,Mining & petroleum development,Both sexes,25 to 54 years,0.0
1979,Mining & petroleum development,Both sexes,55 years and over,0.0
1979,Mining & petroleum development,Females,15 to 24 years,0.0
1979,Mining & petroleum development,Females,15 years and over,0.0
1979,Mining & petroleum development,Females,25 to 54 years,0.0
1979,Mining & petroleum development,Females,55 years and over,0.0
1979,Mining & petroleum development,Males,15 to 24 years,0.0
1979,Mining & petroleum development,Males,15 years and over,0.0
1979,Mining & petroleum development,Males,25 to 54 years,0.0
1979,Mining & petroleum development,Males,55 years and over,0.0
1979,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,41.400000000000006
1979,"Provincial & municipal government, education & health",Both sexes,15 years and over,197.3
1979,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,133.7
1979,"Provincial & municipal government, education & health",Both sexes,55 years and over,22.200000000000003
1979,"Provincial & municipal government, education & health",Females,15 to 24 years,30.5
1979,"Provincial & municipal government, education & health",Females,15 years and over,119.6
1979,"Provincial & municipal government, education & health",Females,25 to 54 years,78.7
1979,"Provincial & municipal government, education & health",Females,55 years and over,10.5
1979,"Provincial & municipal government, education & health",Males,15 to 24 years,10.9
1979,"Provincial & municipal government, education & health",Males,15 years and over,77.6
1979,"Provincial & municipal government, education & health",Males,25 to 54 years,54.900000000000006
1979,"Provincial & municipal government, education & health",Males,55 years and over,11.7
1979,"Transportation, communication & utilities",Both sexes,15 to 24 years,19.099999999999998
1979,"Transportation, communication & utilities",Both sexes,15 years and over,77.2
1979,"Transportation, communication & utilities",Both sexes,25 to 54 years,51.6
1979,"Transportation, communication & utilities",Both sexes,55 years and over,5.8
1979,"Transportation, communication & utilities",Females,15 to 24 years,3.8
1979,"Transportation, communication & utilities",Females,15 years and over,15.0
1979,"Transportation, communication & utilities",Females,25 to 54 years,8.8
1979,"Transportation, communication & utilities",Females,55 years and over,0.0
1979,"Transportation, communication & utilities",Males,15 to 24 years,14.6
1979,"Transportation, communication & utilities",Males,15 years and over,62.2
1979,"Transportation, communication & utilities",Males,25 to 54 years,42.1
1979,"Transportation, communication & utilities",Males,55 years and over,5.0
1979,Wholesale and retail,Both sexes,15 to 24 years,66.7
1979,Wholesale and retail,Both sexes,15 years and over,173.8
1979,Wholesale and retail,Both sexes,25 to 54 years,90.9
1979,Wholesale and retail,Both sexes,55 years and over,16.3
1979,Wholesale and retail,Females,15 to 24 years,32.0
1979,Wholesale and retail,Females,15 years and over,79.2
1979,Wholesale and retail,Females,25 to 54 years,40.0
1979,Wholesale and retail,Females,55 years and over,7.2
1979,Wholesale and retail,Males,15 to 24 years,34.7
1979,Wholesale and retail,Males,15 years and over,94.7
1979,Wholesale and retail,Males,25 to 54 years,50.9
1979,Wholesale and retail,Males,55 years and over,9.1
1980,Agriculture & forestry,Both sexes,15 to 24 years,15.9
1980,Agriculture & forestry,Both sexes,15 years and over,78.5
1980,Agriculture & forestry,Both sexes,25 to 54 years,45.8
1980,Agriculture & forestry,Both sexes,55 years and over,16.9
1980,Agriculture & forestry,Females,15 to 24 years,3.2
1980,Agriculture & forestry,Females,15 years and over,20.2
1980,Agriculture & forestry,Females,25 to 54 years,13.9
1980,Agriculture & forestry,Females,55 years and over,3.0
1980,Agriculture & forestry,Males,15 to 24 years,12.6
1980,Agriculture & forestry,Males,15 years and over,58.4
1980,Agriculture & forestry,Males,25 to 54 years,31.9
1980,Agriculture & forestry,Males,55 years and over,13.8
1980,Business & professional services,Both sexes,15 to 24 years,107.9
1980,Business & professional services,Both sexes,15 years and over,289.09999999999997
1980,Business & professional services,Both sexes,25 to 54 years,160.5
1980,Business & professional services,Both sexes,55 years and over,20.6
1980,Business & professional services,Females,15 to 24 years,65.3
1980,Business & professional services,Females,15 years and over,152.70000000000002
1980,Business & professional services,Females,25 to 54 years,79.3
1980,Business & professional services,Females,55 years and over,4.6
1980,Business & professional services,Males,15 to 24 years,42.5
1980,Business & professional services,Males,15 years and over,136.4
1980,Business & professional services,Males,25 to 54 years,81.2
1980,Business & professional services,Males,55 years and over,10.1
1980,Construction & construction trades,Both sexes,15 to 24 years,39.0
1980,Construction & construction trades,Both sexes,15 years and over,125.5
1980,Construction & construction trades,Both sexes,25 to 54 years,78.5
1980,Construction & construction trades,Both sexes,55 years and over,8.1
1980,Construction & construction trades,Females,15 to 24 years,3.8
1980,Construction & construction trades,Females,15 years and over,12.4
1980,Construction & construction trades,Females,25 to 54 years,7.4
1980,Construction & construction trades,Females,55 years and over,0.0
1980,Construction & construction trades,Males,15 to 24 years,35.2
1980,Construction & construction trades,Males,15 years and over,113.1
1980,Construction & construction trades,Males,25 to 54 years,71.0
1980,Construction & construction trades,Males,55 years and over,6.8
1980,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,31.2
1980,"Manufacturing, packaging & processing",Both sexes,15 years and over,103.0
1980,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,64.5
1980,"Manufacturing, packaging & processing",Both sexes,55 years and over,7.3
1980,"Manufacturing, packaging & processing",Females,15 to 24 years,7.2
1980,"Manufacturing, packaging & processing",Females,15 years and over,23.6
1980,"Manufacturing, packaging & processing",Females,25 to 54 years,15.3
1980,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1980,"Manufacturing, packaging & processing",Males,15 to 24 years,24.0
1980,"Manufacturing, packaging & processing",Males,15 years and over,79.4
1980,"Manufacturing, packaging & processing",Males,25 to 54 years,49.1
1980,"Manufacturing, packaging & processing",Males,55 years and over,6.3
1980,Mining & petroleum development,Both sexes,15 to 24 years,0.0
1980,Mining & petroleum development,Both sexes,15 years and over,0.0
1980,Mining & petroleum development,Both sexes,25 to 54 years,0.0
1980,Mining & petroleum development,Both sexes,55 years and over,0.0
1980,Mining & petroleum development,Females,15 to 24 years,0.0
1980,Mining & petroleum development,Females,15 years and over,0.0
1980,Mining & petroleum development,Females,25 to 54 years,0.0
1980,Mining & petroleum development,Females,55 years and over,0.0
1980,Mining & petroleum development,Males,15 to 24 years,0.0
1980,Mining & petroleum development,Males,15 years and over,0.0
1980,Mining & petroleum development,Males,25 to 54 years,0.0
1980,Mining & petroleum development,Males,55 years and over,0.0
1980,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,44.2
1980,"Provincial & municipal government, education & health",Both sexes,15 years and over,207.39999999999998
1980,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,140.9
1980,"Provincial & municipal government, education & health",Both sexes,55 years and over,22.2
1980,"Provincial & municipal government, education & health",Females,15 to 24 years,31.7
1980,"Provincial & municipal government, education & health",Females,15 years and over,125.19999999999999
1980,"Provincial & municipal government, education & health",Females,25 to 54 years,82.5
1980,"Provincial & municipal government, education & health",Females,55 years and over,10.799999999999999
1980,"Provincial & municipal government, education & health",Males,15 to 24 years,12.3
1980,"Provincial & municipal government, education & health",Males,15 years and over,82.3
1980,"Provincial & municipal government, education & health",Males,25 to 54 years,58.5
1980,"Provincial & municipal government, education & health",Males,55 years and over,11.4
1980,"Transportation, communication & utilities",Both sexes,15 to 24 years,19.2
1980,"Transportation, communication & utilities",Both sexes,15 years and over,81.60000000000001
1980,"Transportation, communication & utilities",Both sexes,25 to 54 years,56.4
1980,"Transportation, communication & utilities",Both sexes,55 years and over,5.4
1980,"Transportation, communication & utilities",Females,15 to 24 years,4.3
1980,"Transportation, communication & utilities",Females,15 years and over,15.4
1980,"Transportation, communication & utilities",Females,25 to 54 years,8.5
1980,"Transportation, communication & utilities",Females,55 years and over,0.0
1980,"Transportation, communication & utilities",Males,15 to 24 years,13.0
1980,"Transportation, communication & utilities",Males,15 years and over,66.2
1980,"Transportation, communication & utilities",Males,25 to 54 years,46.9
1980,"Transportation, communication & utilities",Males,55 years and over,4.6
1980,Wholesale and retail,Both sexes,15 to 24 years,71.6
1980,Wholesale and retail,Both sexes,15 years and over,179.7
1980,Wholesale and retail,Both sexes,25 to 54 years,93.6
1980,Wholesale and retail,Both sexes,55 years and over,14.5
1980,Wholesale and retail,Females,15 to 24 years,35.2
1980,Wholesale and retail,Females,15 years and over,84.5
1980,Wholesale and retail,Females,25 to 54 years,42.8
1980,Wholesale and retail,Females,55 years and over,6.5
1980,Wholesale and retail,Males,15 to 24 years,36.4
1980,Wholesale and retail,Males,15 years and over,95.3
